FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
2138,General Grants,2013-03-30T12:00:00.000Z,2012,Newtown Community & Cultural Centre,Wellington Timebank,-,-,All of Wellington City,-,6/10/2013 12:00:00 AM,6/9/2014 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,34213,15790,18423,18000,10000,Approved,Complete,Membership of 350+ by May 2014,Active Neighbourhood hubs across 10 Wellington suburbs,Neighbourhood hubs working on community preparedness plans for their area,Developing successful income streams,-,-,-,-,-,-,-
2139,Wellington Venue Subsidy,2013-06-29T12:00:00.000Z,2012,Te Kōkī New Zealand School of Music - Victoria University of Wellington,NZSM Friday at 5:15,-,Wellington Town Hall,-,-,4/19/2013 12:00:00 AM,5/24/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,6500,0,6500,4000,1000,Approved,Monitoring,Increase awareness of the musical scope and expertise inherent in the staff of NZSM,Introduce our new Lecturer in Jazz Piano to the wider Wellington public,Provide yet another rich musical experience to Wellington music-lovers and visitors,-,-,-,-,-,-,-,-
2140,Our Living City Fund,2016-03-28T12:00:00.000Z,2015,Mount Cook Preschool Incorporated,Outdoor Area Upgrade - Raised Garden area,-,-,"Mt Cook; Newtown; Te Aro",-,8/22/2016 12:00:00 AM,9/30/2016 12:00:00 AM,3/17/2016 12:00:00 AM,3/17/2016 12:00:00 AM,-,Children,All,Families,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; User pays",11900,0,11900,2000,1500,Approved,Monitoring,Promotion of well-being through gardening. Children will be involved in growing food and plants for use at preschool and to share with families.,Provide meaningful education opportunities to learn about water conservation and the value resource it is.,Enabling childrens families to be part of the growing of food and healthy eating activity.,-,-,-,-,-,-,-,https://sites.google.com/a/mtcookpreschool.org.nz/mt-cook/
2141,Betty Campbell Accommodation Assistance (Rental),2017-06-29T12:00:00.000Z,2017,MCLaSS: Multicultural Learning and Support Services,Multicultural Community Hub - Year 3 of 3 (2017-2018),-,-,-,-,6/29/2015 12:00:00 AM,6/30/2018 12:00:00 AM,6/30/2015 12:00:00 AM,6/30/2015 12:00:00 AM,-,-,-,-,-,-,-,-,71640,0,71640,13500,7284,Approved,Monitoring,a vibrant community hub which is used by refugee and migrant groups every weekend as well as during the week,the continuing survival and growth of MCLaSS and Changemakers Refugee Forum through sharing premises and resources,the development of the Multicultural Community Hub as a place where refugees and migrants can come to have their questions answered and to get help with accessing services,-,-,-,-,-,-,-,-
2142,Wellington Venue Subsidy,2014-06-29T12:00:00.000Z,2013,Te Kōkī New Zealand School of Music - Victoria University of Wellington,Verdi's Il Corsaro,-,Opera House,-,-,7/26/2013 12:00:00 AM,7/30/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,131300,71000,60300,30000,12500,Approved,Complete,Achieve audience numbers of more than 1500 for the season,Attract national media interest and coverage of the event,Provide a professional and 'real' performance experience for both orcehstral and opera students commensurtate with pedagogical aims,-,-,-,-,-,-,-,-
2143,Social And Recreation Fund,2013-10-30T12:00:00.000Z,2013,Newtown Community & Cultural Centre,Wellington Timebank,-,-,All of Wellington City,-,1/1/2014 12:00:00 AM,1/1/2015 12:00:00 AM,-,-,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",User pays,52273,39658,12615,12500,10000,Approved,Complete,Membership of 500 by January 2015 and 3000 hours traded between Wellington Timebank members.,10 Neighbourhood Hubs established,1500 further volunteer hours contributed to the Wellington Timebank,Two further “bumping spaces” created,-,-,-,-,-,-,-
2144,Wellington Venue Subsidy,2015-06-29T12:00:00.000Z,2014,Te Kōkī New Zealand School of Music - Victoria University of Wellington,NZSM Jazz Festival 2014,-,St James Theatre,-,-,8/21/2014 12:00:00 AM,8/23/2014 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,52850,20340,32510,12000,7800,Approved,Complete,"Provide superior educational experiences to both NZSM students and secondary school students, ensure that Wellington City Schools are informed about opportunities to participate and attend.",Increase awareness and appreciation of the Jazz genre and showcase international Jazz artists to Wellington public and visitors.,Showcase the expertise of NZSM Jazz programme to Wellington public and visitors.,-,-,-,-,-,-,-,-
2145,General Grants - Contract Funding,2013-04-29T12:00:00.000Z,2013,Newtown Community & Cultural Centre,Contract funding - Year 1 of 3 (2013-2014),-,-,Newtown,-,-,-,-,-,-,-,-,-,-,-,-,-,180641.79,0,180641.79,78929.92,175467,Approved,Complete,"Identify and meet community needs through the operation of Newtown CCC, Newtown Hall and Smart Newtown",Develop and sustain networks in the community and with local community organisations,"Encourage community participation and use of the centre. Report on availability, useage and other agreed targets.","Initiate, promote or support responses to local needs with programmes, projects, activities, community events, etc.",Organisational resilience- maintain a business continuity and health and safety plan.,-,-,-,-,-,-
2146,Social And Recreation Fund,2014-10-28T12:00:00.000Z,2014,Mt Cook Mobilised,Operational assistance,Newtown Residents Association Inc,-,Mt Cook,-,11/1/2014 12:00:00 AM,10/31/2015 12:00:00 AM,10/20/2014 12:00:00 AM,10/20/2014 12:00:00 AM,-,All,All,-,-,-,-,"Free to all; Koha/donation",1500,0,1500,1500,1500,Approved,Complete,Support community information sharing and engagement.,Sustain participation levels for MCM events and activities.,-,-,-,-,-,-,-,-,-
2147,Social And Recreation Fund,2015-03-22T12:00:00.000Z,2014,MCLaSS: Multicultural Learning and Support Services,Empowering refugee parents to participate in their children's learning through school-based ESOL classes,-,-,Miramar,-,2/3/2015 12:00:00 AM,12/10/2015 12:00:00 AM,3/20/2015 12:00:00 AM,3/20/2015 12:00:00 AM,-,-,Other specific group,refugee parents,-,-,"Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,16700,10700,6000,6000,4000,Approved,Complete,Non English Speaking Background participants report increased confidence in communicating in English and understanding materials written in English.,All participants report increased feelings of being connected to others in the local community.,The staff at Holy Cross School report an increase in parental understanding of how they can help their children participate fully in their school learning.,-,-,-,-,-,-,-,-
2148,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Te Kōkī New Zealand School of Music - Victoria University of Wellington,New Zealand School of Music Orchestra and Wellington Youth Orchestra combined concert,-,-,All of Wellington City,Michael Fowler Centre,5/2/2016 12:00:00 AM,9/30/2016 12:00:00 AM,8/3/2016 12:00:00 AM,8/3/2016 12:00:00 AM,-,Young people,-,-,-,-,"Clearly visible signage; Hearing loop/digital listener; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Community Service/Gold card discount,17958,12958,5000,5000,3000,Approved,Complete,Provide a professional performance experience and educational outcomes for secondary school and tertiary music students with a combined concert at the Michael Fowler Centre.,"Showcase the expertise of NZSM Orchestra and Wellington Youth Orchestra to the Wellington public and visitors, and thus encourage people to regard Wellington as a hothouse for talent",Build a partnership with both the Wellington Youth Orchestra and the NZSO in order to foster talented young musicians in Wellington,Inspire young people to learn and study music by presenting a youth orchestra concert,"Attract media interest and coverage of the event in Wellington, to increase the awareness of young peoples involvement in music in this city.",-,-,-,-,-,www.nzsm.ac.nz
2149,Creative Communities Local Funding Scheme (Legacy),2014-02-27T12:00:00.000Z,2013,Newtown Community & Cultural Centre,Community Art Workshops - 2014,-,-,Newtown,Hall at the Newtown Community & Cultural Centre,2/24/2014 12:00:00 AM,10/12/2014 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,3049.32,128,2921.32,2921.32,2921,Approved,Complete,"To attract a significant proportion of our target audience: people who are low income, students or unemployed.",Participants to come away with a new skill in the creative arts,Participants to have enjoyed learning a new skill in the creative arts,Participants to feel encouraged to try more creative art activities outside of these workshops,-,-,-,-,-,-,-
2150,Social And Recreation Fund,2013-07-30T12:00:00.000Z,2013,Mt Cook Mobilised,Operational assistance,Newtown Residents Association Inc,-,Mt Cook,-,8/1/2013 12:00:00 AM,7/31/2014 12:00:00 AM,-,-,-,All,All,-,-,-,-,"Free to all; Koha/donation",1500,0,1500,1500,1500,Approved,Complete,"Have a committee that meets at least twice a year, have an active membership of 10 or more, excluding the committee, keep accurate and detailed accounts, make your accounts/finances and minutes available to Wellington City Council.",Develop new ideas and projects- describe these and ensure particiption by residents of Mt Cook in MCM projects,"Demonstrate increased participation for activities, compare involvement/attendance in events compared to previous year",-,-,-,-,-,-,-,-
2151,Creative Communities Local Funding Scheme,2016-08-30T12:00:00.000Z,2016,Te Kōkī New Zealand School of Music - Victoria University of Wellington,Cellophonia VI,-,-,Kelburn,New Zealand School of Music,11/17/2016 12:00:00 AM,11/20/2016 12:00:00 AM,11/17/2016 12:00:00 AM,11/20/2016 12:00:00 AM,-,Young people,-,-,40,50,-,-,4400,3250,1150,1150,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2152,Creative Communities Local Funding Scheme (Legacy),2013-02-27T12:00:00.000Z,2012,Newtown Community & Cultural Centre,Community Art Workshops,-,-,Newtown,-,9/30/2013 12:00:00 AM,10/12/2013 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,3617.39,192,3425.39,2377,2377,Approved,Complete,"To attract a significant proportion of our target audience: people who are low income, students or unemployed.",Participants to come away with a new skill in the creative arts,Participants to have enjoyed learning a new skill in the creative arts,Participants to feel encouraged to try more creative art activities outside of these workshops,-,-,-,-,-,-,-
2153,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,MCLaSS: Multicultural Learning and Support Services,Operational costs for English classes to support refugee intakes to Wellington,-,-,"All of Wellington City; Berhampore; Miramar; Mt Cook; Newtown",-,5/8/2017 12:00:00 AM,12/29/2017 12:00:00 AM,3/31/2017 12:00:00 AM,3/31/2017 12:00:00 AM,-,All,Other specific group,Refugees and migrants who speak English as a Second Language,-,-,-,-,12940,0,12940,12940,12000,Approved,Monitoring,80% of learners enrolled at the beginning of each course complete the full course or leave for employment or a higher level course. (Some students repeat a level if they have low or disrupted education in their home country or in a refugee camp),"75% average attendance rate. (Note: attendance is often a challenge for new settlers, particularly as they have many other appointments with GPs, Work and Income, public health for vaccinations, children’s schooling, etc.)",90% of learners surveyed at the end of each course in the Beginner English programme report that they are happy or very happy with their learning experience.,-,-,-,-,-,-,-,www.mclass.org.nz
2154,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Te Kōkī New Zealand School of Music - Victoria University of Wellington,NZSM Jazz Project 2016,-,-,"All of Wellington City; Kelburn; Te Aro","The Opera House on Thursday 9 June, and venues at the Te Kōkī New Zealand School of Music campus at Victoria University of Wellington on Wednesday 8 June and Friday 10 June.",5/2/2016 12:00:00 AM,7/29/2016 12:00:00 AM,6/8/2016 12:00:00 AM,6/10/2016 12:00:00 AM,-,Young people,Wider community,-,-,-,"Clearly visible signage; Hearing loop/digital listener; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; Free to all",34550,24477,10073,10073,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,http://www.nzsm.ac.nz/events/nzsm-jazz-festival/nzsm-jazz-project-2016
2155,General Grants,2012-08-30T12:00:00.000Z,2012,Mt Cook Mobilised,Operational assistance,Newtown Residents Association Inc,-,Mt Cook,-,10/1/2012 12:00:00 AM,10/31/2013 12:00:00 AM,-,-,-,-,All,-,-,-,-,-,1500,0,1500,1500,1500,Approved,Complete,Participation by residents in MCM projects,Increased participation can be shown for activities,Mt Cook residents develop increased sense of community,-,-,-,-,-,-,-,-
2156,Communities On Bikes Fund,2016-09-15T12:00:00.000Z,2016,Newtown Community & Cultural Centre,Newtown Bike Maintenance Workshops,-,-,"Berhampore; Newtown",-,10/15/2016 12:00:00 AM,3/18/2017 12:00:00 AM,9/16/2016 12:00:00 AM,9/16/2016 12:00:00 AM,-,All,All,-,-,-,-,-,1890,0,1890,1890,1890,Approved,Monitoring,Provide a space and expertise to enable Newtown Residents to maintain their bikes,Provide a space and expertise for women and LGTBQIA people to maintain their bikes,Upskill Newtown residents in maintaining their bikes,Provide tools for ongoing bike maintenance in Newtown,12-15 attendees per session,-,-,-,-,-,-
2157,C H Izard Bequest,2017-03-30T12:00:00.000Z,2016,MCLaSS: Multicultural Learning and Support Services,Empowering refugee and migrant parents to participate through English classes with free child care,-,-,"Berhampore; Miramar; Newtown",-,5/8/2017 12:00:00 AM,12/29/2017 12:00:00 AM,3/31/2017 12:00:00 AM,3/31/2017 12:00:00 AM,-,All,Other specific group,Former refugees and migrants,-,-,-,-,52173,35046,17127,8748,3000,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,www.mclass.org.nz
2158,General Grants,2012-10-30T12:00:00.000Z,2012,Te Kura Kaupapa Maori O Nga Mokopuna,Te Rā o Kupe - Community Māori festival.,-,-,Seatoun - Karaka Bays - Breaker Bay,-,3/10/2013 12:00:00 AM,3/10/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,16550,11550,5000,5000,4000,Approved,Complete,Emphasise traditional and contemporary Māori cultural influences,Encourage and increase youth participation in the Arts through youth stage performances,"Provide a Festival to the Seatoun/Eastern suburbs geographical communities, and the Māori community","Preserve and enhance Wellington's role as arts and cultural capital of New Zealand - for instance, we will target international film community based in Miramar to showcase local and Māori performance at the Festival",-,-,-,-,-,-,-
2159,Social And Recreation Fund,2014-04-15T12:00:00.000Z,2013,Newtown Community & Cultural Centre,Newtown Youth Programme,-,-,"Berhampore; Newtown",-,6/4/2014 12:00:00 AM,4/1/2015 12:00:00 AM,-,-,-,Children,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; Free to all",24698.6,9300,15398.6,12000,10000,Approved,Complete,Providing accessible child-care at a small cost for low-income families.,Providing a safe and fun environment where children find belonging - seen through our positive feedback from parents/children.,Providing work opportunities and development for local young people in volunteer and paid employment roles.,"Providing extra support and care for parents/caregivers and young people who require it due to being either 'at risk', intellectually challenged, socially/economically marginalised etc.",Providing more positive role models in local young people's lives.,-,-,-,-,-,-
2160,Social And Recreation Fund,2016-03-10T12:00:00.000Z,2015,Mt Cook Mobilised,Operational assistance,Newtown Residents Association Inc,-,Mt Cook,-,4/1/2016 12:00:00 AM,3/31/2017 12:00:00 AM,2/28/2016 12:00:00 AM,2/28/2016 12:00:00 AM,-,All,-,-,-,-,-,"Free to all; Koha/donation",1500,0,1500,1500,1500,Approved,Monitoring,Support community information sharing and engagement.,Sustain participation levels for MCM events and activities.,"-Have a committee meeting/AGM at least twice a year (as per constitution/rules), have an active membership of 10 or more- excluding committee, keep accurate and detailed accounts, make your accounts and minutes available to Wellington City Council",-,-,-,-,-,-,-,-
2161,General Grants,2012-08-30T12:00:00.000Z,2012,MCLaSS: Multicultural Learning and Support Services,“What’s Your English Like?” – contributing to the successful settlement of non-English-speaking-background migrants by helping them to understand their strengths and weaknesses in using English and what they can do to improve,-,-,All of Wellington City,-,1/1/2013 12:00:00 AM,12/31/2013 12:00:00 AM,-,-,-,-,Other specific group,non-English-speaking-background migrants,-,-,-,-,16290,280,16010,10900,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2162,General Grants,2012-10-30T12:00:00.000Z,2012,Tennis Central Region Incorporated,Strategies for the Future of Tennis Facilities in Wellington,-,-,All of Wellington City,-,2/1/2012 12:00:00 AM,5/31/2012 12:00:00 AM,-,-,-,All,All,"Tennis Central is aligned with the National body, Tennis New Zealand.",-,-,-,-,20000,0,20000,20000,10000,Approved,Complete,Agreed recommendation between the relevant parties to drive strategic improvements.,Increase the profile of Tennis Regionally and restore the Renouf Tennis Centre as a flagship on the Wellington Sporting landscape.,Ensure the long -term financial sustainability of the Renouf Tennis Centre,-,-,-,-,-,-,-,-
2163,Social And Recreation Fund,2016-06-29T12:00:00.000Z,2015,Tennis Central Region Incorporated,Sportsville Partnership Feasibility Fund,-,-,-,-,6/16/2016 12:00:00 AM,2/1/2017 12:00:00 AM,6/16/2016 12:00:00 AM,6/16/2016 12:00:00 AM,-,-,-,-,-,-,-,-,50000,0,50000,33333,32500,Approved,Monitoring,Completion of a Condition Survey for the Renouf Tennis Centre by 1 December 2016,Completion of an Asset Maintenance Plan for the Renouf Tennis Centre by 1 December 2016,Completion of an Asset Management Plan for the Renouf Tennis Centre by 1 February 2017,-,-,-,-,-,-,-,-
2164,Community Venue Assistance (Rental),2015-07-30T12:00:00.000Z,2015,Mt Cook Mobilised,Use of meeting room - Year 2 of 2 (2015-16),Newtown Residents Association Inc,-,-,-,5/26/2014 12:00:00 AM,5/26/2015 12:00:00 AM,3/23/2015 12:00:00 AM,3/23/2015 12:00:00 AM,-,All,All,-,-,-,-,-,1000,0,1000,1000,500,Approved,Monitoring,Regular meetings,Accessible to community,Business able to be conducted,People feel welcome in familiar venue,area to display MCM material,-,-,-,-,-,-
2165,Arts And Culture Fund,2017-03-30T12:00:00.000Z,2016,Meanwhile,MEANWHILE,CIRCUIT Artist Film and Video Aotearoa New Zealand,-,Wellington Central,"99 Willis Street, Te Aro, Wellington",6/27/2016 12:00:00 AM,3/1/2018 12:00:00 AM,-,-,-,-,-,-,-,-,"Clearly visible signage; Wheelchair access to main entrance","Free to all; Koha/donation",43199,39605,3594,3500,2500,Approved,Monitoring,To build a sustainable framework for the continuation of the space (long-term),Foster an active and supportive community space which encourages art production in emergent practice,At least 8 artists reside in this space and at least 100 people attend openings or events.,-,-,-,-,-,-,-,meanwhile.site
2166,Social And Recreation Fund,2015-10-27T12:00:00.000Z,2015,Te Ora Hou Wellington East Trust,Developing Leadership in Pasifika and Maori Youth,-,-,"Kilbirnie; Maupuia; Miramar; Newtown; Strathmore Park",-,12/1/2015 12:00:00 AM,6/10/2016 12:00:00 AM,10/20/2015 12:00:00 AM,10/20/2015 12:00:00 AM,-,Young people,Maori,All youth but specific focus on Maori and Pasifika youth,-,-,"Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,4600,3400,1200,1200,1200,Approved,Complete,Developing youth leadership: ensure youth are equipped with appropriate knowledge and self-belief of their own leadership potential and role modelling for peers and youth issues in the community,"Providing access to positive cultural activities in the Eastern Suburbs of Wellington to encourage youth to move away from trouble in the Eastern Suburbs. This could include kapa Haka, Pasifika and arts activities.","Role modelling leadership through culture is a key area we would like to target with leadership, identity development and confidence building.","Encouraging and assisting youth to identify youth lead solutions to community problems involving young people. Solutions from young people need to be facilitated in partnership with other groups such as Police, local Business, community groups& residents",-,-,-,-,-,-,http://tohwe.org.nz/home/
2167,Communities On Bikes Fund,2017-06-07T12:00:00.000Z,2016,Mechanical Tempest,Mechanical Tempest New Workshop,Re-Bicycle Charitable Trust,-,-,-,6/1/2017 12:00:00 AM,6/1/2018 12:00:00 AM,5/31/2017 12:00:00 AM,5/31/2017 12:00:00 AM,-,All,All,"Those wanting bikes, who have bikes to fix particularly those with no or low income",-,-,-,-,8440,2600,5840,5840,4440,Approved,Monitoring,"Empower the community to understand, care for and maintain their bikes.","Recycle dysfunctional bikes into safe, working bikes and have them used in the community.",Provide a safe space where people of all abilities can learn.,Make the cyclists on Wellington streets safer by ensuring their bikes are mechanically sound.,Encourage cycling through our presence and getting more people on bikes.,-,-,-,-,-,-
2168,Community Venue Assistance (Rental),2017-06-29T12:00:00.000Z,2017,Mt Cook Mobilised,Use of meeting room - Year 2 of 2 (2017-18),Newtown Residents Association Inc,-,-,-,6/21/2016 12:00:00 AM,6/21/2018 12:00:00 AM,6/21/2016 12:00:00 AM,6/21/2016 12:00:00 AM,-,All,All,-,-,-,-,-,1000,0,1000,1000,500,Approved,Monitoring,Regular meetings,Accessible to community,Business able to be conducted,People feel welcome and comfortable in familiar venue,Area to display MCM material,-,-,-,-,-,-
2169,Creative Communities Local Funding Scheme (Legacy),2013-08-30T12:00:00.000Z,2013,Meghann Russell,The Portrait Project: Faces of Wellington,-,-,All of Wellington City,All around the Wellington area.,10/7/2013 12:00:00 AM,9/30/2014 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,2440,499,1941,1941,1500,Approved,Complete,Celebrate the similarities and diversity that exists in the Wellington Community.,Encourage those not usually involved in the Wellington art community to get involved.,Encourage a sense of community,Create between two and four large works collaboratively with the Wellington community that will be exhibited and donated to organisations who's work benefits the Wellington Community,-,-,-,-,-,-,-
2170,General Grants,2012-08-30T12:00:00.000Z,2012,TE PUNANGA O TE REO KUKI AIRANI,New bedding for the first Cook Island Childcare centre in wellington,-,-,All of Wellington City,-,8/31/2012 12:00:00 AM,8/31/2012 12:00:00 AM,-,-,-,Children,All,-,-,-,-,-,10191.4,2000,8191.4,8000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2171,General Grants,2012-08-30T12:00:00.000Z,2012,Newtown Community & Cultural Centre,Newtown Kids Holiday Programme,-,-,Newtown,-,1/14/2013 12:00:00 AM,2/1/2013 12:00:00 AM,-,-,-,Children,Other specific group,low-income families,-,-,-,-,6759.76,1850,4909.76,4909.65,4910,-,Complete,Full attendance each day of programme,75% children come from low-income families,"Positive evaluations from staff, parents and children",-,-,-,-,-,-,-,-
2172,Community Venue Assistance (Rental),2016-06-29T12:00:00.000Z,2016,Mt Cook Mobilised,Use of meeting room - Year 1 of 2 (2016-17),Newtown Residents Association Inc,-,-,-,6/21/2016 12:00:00 AM,6/21/2018 12:00:00 AM,6/21/2016 12:00:00 AM,6/21/2016 12:00:00 AM,-,All,All,-,-,-,-,-,1000,0,1000,1000,500,Approved,Monitoring,Regular meetings,Accessible to community,Business able to be conducted,People feel welcome and comfortable in familiar venue,Area to display MCM material,-,-,-,-,-,-
2173,Built Heritage Incentive Fund,2014-03-13T12:00:00.000Z,2013,Melpo & Harry Kaldelis Family Trust,179 riddiford st newtown,-,-,Newtown,-,3/3/2014 12:00:00 AM,5/12/2014 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,217645.5,0,217645.5,95000,15000,Approved,Complete,To repair crack and maintain the heritage of the building,-,-,-,-,-,-,-,-,-,-
2174,Social And Recreation Fund,2016-03-10T12:00:00.000Z,2015,Newtown Community & Cultural Centre,Newtown Youth Programme,-,-,"Berhampore; Newtown",-,5/2/2016 12:00:00 AM,4/28/2017 12:00:00 AM,3/10/2016 12:00:00 AM,3/10/2016 12:00:00 AM,-,Young people,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; Free to all",90743.6,43500,47243.6,13000,8000,Approved,Monitoring,Increased well-being for Newtown Youth,Support for youth and their families of low income background,"Support for youth and their families of M?ori, Pacific Island and refugee/migrant background",Provide opportunities for paid and volunteer involvement in the Newtown Youth Programme,-,-,-,-,-,-,-
2175,Arts And Culture Fund,2015-07-06T12:00:00.000Z,2015,Te Rakau Hua O Te Wao Tapu,Dog and Bone,-,-,Te Aro,"Te Papa Museum, as part of Ngati Toa's residency.",10/5/2015 12:00:00 AM,2/5/2016 12:00:00 AM,1/19/2016 12:00:00 AM,1/30/2016 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",User pays,64805,59940,4865,4865,4000,Approved,Monitoring,Minimum of 40% houses,Increase audience knowledge of the history of Wellington City. Provide evidence of media articles or audience feedback.,Increase the visibility of Māori culture in Wellington City,Audience Development - promote participation in the arts,-,-,-,-,-,-,-
2176,Built Heritage Incentive Fund,2013-11-07T12:00:00.000Z,2013,Melpo & Harry Kaldelis Family Trust,ascot house,-,-,Newtown,-,11/8/2013 12:00:00 AM,11/8/2013 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,236000,0,236000,75000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2177,Social And Recreation Fund,2017-03-30T12:00:00.000Z,2016,Mt Cook Mobilised,Operational assistance,Newtown Residents Association Inc,-,Mt Cook,-,4/1/2017 12:00:00 AM,3/31/2018 12:00:00 AM,3/13/2017 12:00:00 AM,3/13/2017 12:00:00 AM,-,All,-,-,-,-,-,"Free to all; Koha/donation",1500,0,1500,1500,1500,Approved,Monitoring,"Have a committee meeting/AGM at least twice a year (as per your constitution/rules), have an active membership of 10 or more - excluding the committee, keep accurate and detailed accounts and make your accounts and minutes available to WCC.","Communicate with residents in the area, in appropriate ways to reach as many people as possible - moving to digital formats rather than printed material (e-newsletters, website, social media ), please add us to any electronic email distribution lists.","Grow your membership in the year, tell us how you have done this and how you have measured this.","Have a positive inclusive approach to working with all residents, reporting on examples of projects or initiatives that build connections and neighbourliness.","Have a positive inclusive approach to working with all residents, reporting on examples of projects or initiatives that build connections and neighbourliness.",-,-,-,-,-,-
2178,General Grants,2013-03-30T12:00:00.000Z,2012,Menzshed Wellington,Menzshed Wellington,Wesley Wellington Mission Inc,-,All of Wellington City,-,4/1/2013 12:00:00 AM,3/31/2014 12:00:00 AM,-,-,-,Seniors,Other specific group,-,-,-,-,-,16000,9720,6280,4800,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2179,Waste Minimisation Seed Fund $2000 and over,2016-10-27T12:00:00.000Z,2016,Newtown Community & Cultural Centre,Pilot Wash Against Waste Zone,-,-,Newtown,-,1/11/2017 12:00:00 AM,3/31/2017 12:00:00 AM,10/27/2016 12:00:00 AM,10/27/2016 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,3250,0,3250,3250,3250,Approved,Monitoring,Newtown Festival waste is reduced through the provision of a reusable alternative to single use packaging,Increased community engagement in waste minimisation activities at Newtown Festival,Contribution to zero waste behaviour change at Newtown Festival and beyond,-,-,-,-,-,-,-,http://www.newtownfestival.org.nz/
2180,Community Venue Assistance (Rental),2014-07-30T12:00:00.000Z,2014,Mt Cook Mobilised,Use of meeting room - Year 1 of 2 (2014-15),Newtown Residents Association Inc,-,-,-,5/26/2014 12:00:00 AM,5/26/2015 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,1000,0,1000,1000,500,Approved,Complete,Regular meetings,Accessible to community,Business able to be conducted,People feel welcome in familiar venue,area to display MCM material,-,-,-,-,-,-
2181,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2015-03-06T12:00:00.000Z,2014,Newtown Community & Cultural Centre,Community Art Workshops,-,-,Newtown,"Newtown Community & Cultural Centre, corner Colombo & Rintoul St.",9/28/2015 12:00:00 AM,10/8/2015 12:00:00 AM,2/25/2015 12:00:00 AM,2/25/2015 12:00:00 AM,-,-,-,-,70,-,-,-,3103.56,667,2436.56,2430,2430,Approved,Complete,"To attract over 50% of our target audience - people who identify as being low income, students or unemployed",Participants to feel that they have come away with a new skill in the creative arts,Participants to feel that they have enjoyed learning a new skill in the creative arts,Participants to feel encouraged to try more creative art activities outside of these workshops,-,-,-,-,-,-,www.newtowncommunity.org.nz
